timestamp,yaw,pitch,filtered_yaw,filtered_pitch,velocity_x,velocity_y,dead_zone_triggered,zoom_factor
1867.131099,0.150855,0.029745,0.197281,0.036342,-1974.8159,90.8017,0,1.0394
1867.208513,0.138827,0.020754,0.190267,0.034471,-1872.2442,77.0474,0,1.0403
1867.329659,0.136701,0.014796,0.183839,0.032110,-1791.7827,61.2154,0,1.0338
1867.417280,0.116547,0.008632,0.175764,0.029293,-1680.3787,43.7116,0,1.0324
1867.527846,0.136266,0.021596,0.171024,0.028369,-1604.9092,37.5542,0,1.0382
1867.620345,0.173364,0.030299,0.171305,0.028601,-1604.3067,38.4562,0,1.0409
1867.722930,0.213301,0.034150,0.176344,0.029267,-1662.0341,41.6480,0,1.0464
1867.817975,0.240135,0.037310,0.183999,0.030232,-1778.6561,46.5817,0,1.0416
1867.929594,0.278873,0.042919,0.195384,0.031754,-1957.2442,57.3309,0,1.0333
1868.025066,0.299114,0.042757,0.207832,0.033075,-2138.4702,66.1931,0,1.0340
1868.125396,0.327810,0.051970,0.222229,0.035342,-2328.8530,81.8577,0,1.0303
1868.218124,0.355337,0.054989,0.238202,0.037700,-2337.8365,99.1487,0,1.0266
1868.312140,0.379552,0.062145,0.255164,0.040633,-2333.2051,120.9358,0,1.0286
1868.403870,0.390453,0.066863,0.271399,0.043781,-2339.3527,146.0011,0,1.0259
1868.497915,0.407530,0.066213,0.287735,0.046473,-2331.1113,167.4535,0,1.0296
1868.596498,0.422464,0.072973,0.303902,0.049653,-2327.5380,193.8114,0,1.0312
1868.708049,0.440514,0.072670,0.320295,0.052415,-2324.9272,217.5224,0,1.0324
1868.827862,0.455645,0.064152,0.336537,0.053823,-2319.7229,229.4737,0,1.0352
1868.918747,0.442031,0.083163,0.349197,0.057344,-2287.3786,256.9746,0,1.0499
1869.020785,0.438180,0.089929,0.359875,0.061254,-2269.6513,290.4791,0,1.0577
1869.126544,0.456773,0.093903,0.371502,0.065172,-2240.8428,322.8273,0,1.0714
1869.226909,0.465534,0.108271,0.382786,0.070344,-2228.2646,369.6084,0,1.0773
1869.302939,0.463212,0.100033,0.392437,0.073907,-2213.0164,401.3328,0,1.0848
1869.403007,0.467831,0.107654,0.401485,0.077956,-2205.4416,439.6167,0,1.0884
1869.516067,0.461102,0.111040,0.408639,0.081926,-2204.1550,479.0031,0,1.0889
1869.602644,0.446725,0.109360,0.413209,0.085218,-2203.7506,512.2721,0,1.0891
1869.721806,0.445433,0.114066,0.417076,0.088680,-2196.6915,546.1653,0,1.0928
1869.810428,0.451226,0.104961,0.421174,0.090634,-2198.7670,567.2472,0,1.0913
1869.925246,0.447305,0.107122,0.424310,0.092612,-2197.9094,587.6818,0,1.0920
